iter	Passed	Remaining
0	3	3659
1	5	2498
2	6	2119
3	7	1919
4	9	1792
5	10	1716
6	11	1656
7	13	1632
8	14	1617
9	16	1598
10	18	1622
11	19	1596
12	20	1579
13	22	1559
14	23	1540
15	24	1525
16	26	1512
17	27	1505
18	29	1497
19	30	1501
20	32	1499
21	34	1520
22	35	1512
23	36	1503
24	38	1497
25	39	1489
26	41	1479
27	42	1474
28	43	1468
29	46	1492
30	48	1500
31	49	1494
32	50	1487
33	52	1489
34	53	1484
35	55	1477
36	56	1471
37	57	1464
38	59	1458
39	60	1452
40	61	1448
41	63	1455
42	65	1453
43	67	1456
44	68	1461
45	70	1456
46	71	1452
47	72	1447
48	74	1443
49	75	1441
50	77	1441
51	79	1453
52	81	1453
53	83	1460
54	84	1455
55	86	1452
56	87	1449
57	88	1444
58	90	1440
59	91	1439
60	94	1447
61	95	1447
62	97	1443
63	98	1440
64	100	1438
65	101	1436
66	102	1433
67	104	1432
68	106	1430
69	107	1430
70	109	1427
71	110	1425
72	112	1424
73	113	1423
74	115	1421
75	116	1418
76	118	1417
77	119	1415
78	121	1413
79	122	1413
80	124	1413
81	126	1411
82	128	1421
83	130	1424
84	132	1423
85	134	1431
86	136	1434
87	138	1431
88	139	1428
89	140	1425
90	142	1422
91	144	1424
92	145	1423
93	147	1420
94	149	1424
95	150	1420
96	152	1417
97	153	1417
98	155	1414
99	157	1416
100	159	1416
101	160	1413
102	165	1442
103	168	1447
104	171	1459
105	176	1487
106	177	1485
107	179	1485
108	181	1482
109	182	1477
110	184	1474
111	185	1473
112	187	1469
113	188	1468
114	190	1467
115	192	1465
116	194	1464
117	195	1463
118	197	1464
119	199	1463
120	201	1461
121	202	1460
122	204	1459
123	207	1466
124	209	1464
125	211	1463
126	213	1467
127	215	1466
128	217	1465
129	218	1464
130	220	1462
131	222	1461
132	223	1459
133	226	1463
134	227	1459
135	229	1456
136	230	1454
137	232	1453
138	234	1451
139	235	1448
140	238	1451
141	240	1454
142	243	1457
143	246	1463
144	247	1459
145	248	1456
146	250	1452
147	251	1448
148	255	1459
149	257	1457
150	258	1453
151	260	1452
152	261	1448
153	262	1444
154	264	1441
155	265	1437
156	267	1434
157	268	1430
158	269	1427
159	271	1424
160	272	1421
161	274	1418
162	275	1415
163	276	1411
164	278	1408
165	279	1405
166	280	1401
167	282	1398
168	283	1395
169	285	1391
170	286	1388
171	287	1385
172	289	1382
173	290	1379
174	291	1376
175	293	1373
176	294	1370
177	296	1366
178	297	1363
179	298	1360
180	300	1357
181	301	1354
182	302	1352
183	304	1349
184	305	1346
185	307	1343
186	308	1340
187	309	1337
188	311	1334
189	312	1332
190	313	1329
191	315	1328
192	317	1325
193	318	1322
194	319	1320
195	321	1317
196	322	1315
197	324	1313
198	325	1311
199	327	1308
200	328	1305
201	329	1303
202	331	1300
203	332	1297
204	334	1295
205	335	1292
206	336	1290
207	338	1287
208	339	1285
209	340	1282
210	342	1280
211	343	1277
212	345	1275
213	346	1273
214	348	1270
215	349	1268
216	352	1270
217	353	1268
218	354	1265
219	356	1263
220	357	1261
221	359	1259
222	360	1256
223	361	1253
224	363	1251
225	364	1248
226	366	1246
227	367	1245
228	369	1243
229	370	1241
230	372	1238
231	373	1236
232	374	1234
233	376	1231
234	377	1229
235	378	1226
236	380	1223
237	381	1221
238	382	1219
239	384	1216
240	385	1214
241	386	1212
242	388	1209
243	389	1207
244	390	1204
245	392	1202
246	393	1199
247	394	1197
248	396	1195
249	397	1192
250	398	1190
251	400	1188
252	401	1186
253	403	1183
254	404	1181
255	405	1178
256	407	1176
257	408	1174
258	409	1172
259	411	1169
260	412	1167
261	413	1165
262	416	1166
263	418	1166
264	419	1164
265	421	1162
266	422	1159
267	423	1157
268	425	1155
269	426	1153
270	427	1151
271	429	1149
272	430	1147
273	432	1145
274	433	1143
275	435	1141
276	436	1139
277	438	1139
278	440	1137
279	441	1134
280	442	1132
281	444	1130
282	445	1128
283	446	1126
284	448	1126
285	450	1124
286	451	1122
287	453	1120
288	454	1118
289	456	1116
290	457	1114
291	458	1112
292	460	1110
293	462	1109
294	467	1117
295	469	1117
296	472	1118
297	474	1116
298	475	1115
299	477	1113
300	479	1112
301	480	1111
302	483	1112
303	485	1110
304	486	1108
305	488	1107
306	491	1108
307	492	1106
308	495	1107
309	497	1106
310	498	1104
311	500	1102
312	501	1101
313	503	1099
314	505	1098
315	506	1096
316	508	1095
317	510	1094
318	512	1094
319	515	1096
320	517	1095
321	520	1096
322	523	1096
323	524	1094
324	526	1094
325	529	1095
326	531	1093
327	532	1091
328	534	1090
329	535	1087
330	537	1085
331	538	1083
332	539	1081
333	541	1078
334	544	1080
335	546	1080
336	550	1082
337	552	1082
338	554	1081
339	557	1082
340	560	1082
341	563	1083
342	565	1083
343	569	1085
344	571	1084
345	573	1084
346	576	1084
347	579	1085
348	581	1085
349	584	1085
350	587	1085
351	589	1085
352	592	1085
353	595	1087
354	598	1087
355	601	1087
356	603	1087
357	606	1087
358	608	1086
359	612	1088
360	614	1088
361	617	1088
362	620	1088
363	622	1088
364	625	1088
365	628	1089
366	630	1086
367	631	1084
368	632	1082
369	634	1079
370	635	1077
371	636	1075
372	638	1072
373	639	1070
374	641	1069
375	644	1070
376	646	1067
377	647	1065
378	648	1063
379	650	1060
380	651	1058
381	652	1056
382	654	1053
383	655	1051
384	656	1049
385	658	1047
386	659	1044
387	661	1042
388	662	1040
389	663	1038
390	665	1036
391	666	1033
392	667	1031
393	669	1029
394	670	1026
395	672	1024
396	673	1022
397	676	1023
398	678	1021
399	679	1019
400	680	1017
401	682	1014
402	683	1012
403	685	1010
404	686	1008
405	687	1006
406	690	1005
407	692	1005
408	694	1002
409	695	1000
410	696	998
411	698	996
412	699	994
413	700	991
414	702	989
415	703	987
416	704	985
417	706	983
418	708	982
419	710	980
420	711	978
421	712	976
422	714	974
423	715	972
424	716	969
425	718	967
426	719	965
427	721	963
428	722	961
429	724	960
430	726	958
431	727	956
432	729	954
433	730	952
434	731	950
435	733	948
436	734	946
437	735	944
438	737	942
439	738	940
440	741	939
441	742	937
442	743	935
443	745	933
444	746	931
445	747	928
446	749	926
447	750	924
448	751	922
449	753	920
450	754	918
451	757	918
452	758	916
453	759	913
454	761	911
455	762	909
456	763	907
457	765	905
458	766	903
459	767	901
460	769	899
461	770	897
462	773	897
463	774	894
464	776	892
465	777	890
466	778	888
467	780	886
468	781	884
469	782	882
